plot_id,role,leg,liq,ctx,ok
T34,preserve,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,False
S20,preserve,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,True
S24,preserve,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,True
S25,preserve,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,True
S26,preserve,BEAR_PULLBACK_TO_SUPPLY,SWEEP_AND_RECLAIM,RISK,False
S27,preserve,BEAR_LEG_LH_LL,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,False
S29,preserve,BULL_LEG_HH_HL,NO_CLEAR_SWEEP,BULL,True
S30,preserve,RANGE_TRANSITION,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,False
S31,preserve,BULL_LEG_HH_HL,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,False
S32,preserve,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,False
S35,preserve,RANGE_TRANSITION,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,False
S36,preserve,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,True
S37,preserve,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,True
S38,preserve,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,True
T40,block,BULL_LEG_HH_HL,NO_CLEAR_SWEEP,BULL,False
